"SEQ #","W/H #","DEV ID","SYSFLG1","SYSFLG2","SYSFLG3","SYSFLG4","LOGIN ID","TR DATE(YMD)","TR TYPE","OPE SEQ #","RESULT","RSN CODE","TRUCK NO","CUST NO","SHIP NO","CHECK TYPE","SHIP P/N","SHIP QTY","TAG TYPE","P/N","CUST P/N","QTY","TAG SEQ #","SCAN DATE(YMD)","SCAN TIME"
"8920","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE262100-77900T","0000160","  ","               ","                         ","       ","       ","20250109","235229",""
"8921","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-59110T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8922","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062040-36400T","0000360","  ","               ","                         ","       ","       ","20250109","235229",""
"8923","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-65400T","0000160","  ","               ","                         ","       ","       ","20250109","235229",""
"8924","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-89800T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8925","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-37410T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8926","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-37310T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8927","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE262100-78100T","0000160","  ","               ","                         ","       ","       ","20250109","235229",""
"8928","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-68500T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8929","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE262100-78000T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8930","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE262100-61710T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8931","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-37610T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8932","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-89900T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8933","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE262100-78300T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8934","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-65200T","0000160","  ","               ","                         ","       ","       ","20250109","235229",""
"8935","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-76800T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8936","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE262100-59400T","0000120","  ","               ","                         ","       ","       ","20250109","235229",""
"8937","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-37510T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8938","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE262100-78200T","0000320","  ","               ","                         ","       ","       ","20250109","235229",""
"8939","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-65100T","0000240","  ","               ","                         ","       ","       ","20250109","235229",""
"8940","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-76700T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8941","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE262100-59500T","0000120","  ","               ","                         ","       ","       ","20250109","235229",""
"8942","48","08"," "," "," "," ","7      ","20250109","1","0001","0","1000","0101151","10005500","01","1","AE062020-68800T","0000080","  ","               ","                         ","       ","       ","20250109","235229",""
"8943","48","08"," "," "," "," ","7      ","20250109","1","0002","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070156","20250109","235239",""
"8944","48","08"," "," "," "," ","7      ","20250109","1","0003","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    054","20250109","235240",""
"8945","48","08"," "," "," "," ","7      ","20250109","1","0004","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070122","20250109","235242",""
"8946","48","08"," "," "," "," ","7      ","20250109","1","0005","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    058","20250109","235243",""
"8947","48","08"," "," "," "," ","7      ","20250109","1","0006","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070106","20250109","235244",""
"8948","48","08"," "," "," "," ","7      ","20250109","1","0007","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    036","20250109","235245",""
"8949","48","08"," "," "," "," ","7      ","20250109","1","0008","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070081","20250109","235247",""
"8950","48","08"," "," "," "," ","7      ","20250109","1","0009","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    048","20250109","235248",""
"8951","48","08"," "," "," "," ","7      ","20250109","1","0010","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070149","20250109","235250",""
"8952","48","08"," "," "," "," ","7      ","20250109","1","0011","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    060","20250109","235251",""
"8953","48","08"," "," "," "," ","7      ","20250109","1","0012","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070130","20250109","235255",""
"8954","48","08"," "," "," "," ","7      ","20250109","1","0013","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    049","20250109","235256",""
"8955","48","08"," "," "," "," ","7      ","20250109","1","0014","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070119","20250109","235257",""
"8956","48","08"," "," "," "," ","7      ","20250109","1","0015","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    033","20250109","235258",""
"8957","48","08"," "," "," "," ","7      ","20250109","1","0016","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070077","20250109","235300",""
"8958","48","08"," "," "," "," ","7      ","20250109","1","0017","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    045","20250109","235300",""
"8959","48","08"," "," "," "," ","7      ","20250109","1","0018","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070153","20250109","235302",""
"8960","48","08"," "," "," "," ","7      ","20250109","1","0019","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    057","20250109","235303",""
"8961","48","08"," "," "," "," ","7      ","20250109","1","0020","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070103","20250109","235305",""
"8962","48","08"," "," "," "," ","7      ","20250109","1","0021","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    035","20250109","235306",""
"8963","48","08"," "," "," "," ","7      ","20250109","1","0022","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070120","20250109","235307",""
"8964","48","08"," "," "," "," ","7      ","20250109","1","0023","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    038","20250109","235308",""
"8965","48","08"," "," "," "," ","7      ","20250109","1","0024","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070126","20250109","235309",""
"8966","48","08"," "," "," "," ","7      ","20250109","1","0025","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    050","20250109","235310",""
"8967","48","08"," "," "," "," ","7      ","20250109","1","0026","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070115","20250109","235312",""
"8968","48","08"," "," "," "," ","7      ","20250109","1","0027","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    061","20250109","235313",""
"8969","48","08"," "," "," "," ","7      ","20250109","1","0028","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070127","20250109","235315",""
"8970","48","08"," "," "," "," ","7      ","20250109","1","0029","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    037","20250109","235316",""
"8971","48","08"," "," "," "," ","7      ","20250109","1","0030","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070140","20250109","235318",""
"8972","48","08"," "," "," "," ","7      ","20250109","1","0031","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    047","20250109","235319",""
"8973","48","08"," "," "," "," ","7      ","20250109","1","0032","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070092","20250109","235320",""
"8974","48","08"," "," "," "," ","7      ","20250109","1","0033","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    059","20250109","235321",""
"8975","48","08"," "," "," "," ","7      ","20250109","1","0034","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070145","20250109","235323",""
"8976","48","08"," "," "," "," ","7      ","20250109","1","0035","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    034","20250109","235325",""
"8977","48","08"," "," "," "," ","7      ","20250109","1","0036","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070125","20250109","235326",""
"8978","48","08"," "," "," "," ","7      ","20250109","1","0037","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    046","20250109","235327",""
"8979","48","08"," "," "," "," ","7      ","20250109","1","0038","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070148","20250109","235335",""
"8980","48","08"," "," "," "," ","7      ","20250109","1","0039","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    062","20250109","235336",""
"8981","48","08"," "," "," "," ","7      ","20250109","1","0040","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070093","20250109","235340",""
"8982","48","08"," "," "," "," ","7      ","20250109","1","0041","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    028","20250109","235341",""
"8983","48","08"," "," "," "," ","7      ","20250109","1","0042","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070097","20250109","235343",""
"8984","48","08"," "," "," "," ","7      ","20250109","1","0043","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    040","20250109","235345",""
"8985","48","08"," "," "," "," ","7      ","20250109","1","0044","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070141","20250109","235346",""
"8986","48","08"," "," "," "," ","7      ","20250109","1","0045","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    052","20250109","235347",""
"8987","48","08"," "," "," "," ","7      ","20250109","1","0046","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070088","20250109","235349",""
"8988","48","08"," "," "," "," ","7      ","20250109","1","0047","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    030","20250109","235350",""
"8989","48","08"," "," "," "," ","7      ","20250109","1","0048","0","2000","0101151","10005500","01","1","               ","       ","11","AE062040-36400T","85710-BZ210-00           ","     10","0070134","20250109","235352",""
"8990","48","08"," "," "," "," ","7      ","20250109","1","0049","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062040-36400T","85710-BZ210-00           ","0000010","    042","20250109","235355",""
"8991","48","08"," "," "," "," ","7      ","20250109","1","0050","0","2000","0101151","10005500","01","1","               ","       ","11","AE062020-59110T","85710-02600-00           ","     10","0070044","20250109","235402",""
"8992","48","08"," "," "," "," ","7      ","20250109","1","0051","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062020-59110T","85710-02600-00           ","0000010","    354","20250109","235403",""
"8993","48","08"," "," "," "," ","7      ","20250109","1","0052","0","2000","0101151","10005500","01","1","               ","       ","11","AE062020-59110T","85710-02600-00           ","     10","0070026","20250109","235404",""
"8994","48","08"," "," "," "," ","7      ","20250109","1","0053","0","3000","0101151","10005500","01","1","               ","       ","UR","AE062020-59110T","85710-02600-00           ","0000010","    353","20250109","235405",""
"8995","48","08"," "," "," "," ","7      ","20250109","1","0054","0","2000","0101151","10005500","01","1","               ","       ","11","AE062020-59110T","85710-02600-00           ","     10","0070052","20250109","235406",""
