"SEQ #","W/H #","DEV ID","SYSFLG1","SYSFLG2","SYSFLG3","SYSFLG4","LOGIN ID","TR DATE(YMD)","TR TYPE","OPE SEQ #","RESULT","RSN CODE","TRUCK NO","CUST NO","SHIP NO","CHECK TYPE","SHIP P/N","SHIP QTY","TAG TYPE","P/N","CUST P/N","QTY","TAG SEQ #","SCAN DATE(YMD)","SCAN TIME"
"1924","48","08"," "," "," "," ","7894   ","20250228","1","0001","0","1000","0621228","11000100","01","1","MA276700-20630M","0000330","  ","               ","                         ","       ","       ","20250228","232159",""
"1925","48","08"," "," "," "," ","7894   ","20250228","1","0002","0","2000","0621228","11000100","01","1","               ","       ","11","MA276700-20630M","23703A020P               ","     10","0070277","20250228","232211",""
"1926","48","08"," "," "," "," ","7894   ","20250228","1","0003","0","3000","0621228","11000100","01","1","               ","       ","UR","MA276700-20630M","23703A020P               ","0000010","    176","20250228","232212",""
"1927","48","08"," "," "," "," ","7894   ","20250228","1","0004","0","2000","0621228","11000100","01","1","               ","       ","11","MA276700-20630M","23703A020P               ","     10","0070149","20250228","232214",""
"1928","48","08"," "," "," "," ","7894   ","20250228","1","0005","0","3000","0621228","11000100","01","1","               ","       ","UR","MA276700-20630M","23703A020P               ","0000010","    145","20250228","232215",""
"1929","48","08"," "," "," "," ","7894   ","20250228","1","0006","0","2000","0621228","11000100","01","1","               ","       ","11","MA276700-20630M","23703A020P               ","     10","0070099","20250228","232215",""
"1930","48","08"," "," "," "," ","7894   ","20250228","1","0007","0","3000","0621228","11000100","01","1","               ","       ","UR","MA276700-20630M","23703A020P               ","0000010","    149","20250228","232216",""
"1931","48","08"," "," "," "," ","7894   ","20250228","1","0008","0","2000","0621228","11000100","01","1","               ","       ","11","MA276700-20630M","23703A020P               ","     10","0070215","20250228","232218",""
"1932","48","08"," "," "," "," ","7894   ","20250228","1","0009","0","3000","0621228","11000100","01","1","               ","       ","UR","MA276700-20630M","23703A020P               ","0000010","    153","20250228","232219",""
"1933","48","08"," "," "," "," ","7894   ","20250228","1","0010","0","2000","0621228","11000100","01","1","               ","       ","11","MA276700-20630M","23703A020P               ","     10","0090043","20250228","232308",""
"1934","48","08"," "," "," "," ","7894   ","20250228","1","0011","0","3000","0621228","11000100","01","1","               ","       ","UR","MA276700-20630M","23703A020P               ","0000010","    157","20250228","232309",""
"1935","48","08"," "," "," "," ","7894   ","20250228","1","0012","0","2000","0621228","11000100","01","1","               ","       ","11","MA276700-20630M","23703A020P               ","     10","0070281","20250228","232310",""
"1936","48","08"," "," "," "," ","7894   ","20250228","1","0013","0","3000","0621228","11000100","01","1","               ","       ","UR","MA276700-20630M","23703A020P               ","0000010","    161","20250228","232311",""
"1937","48","08"," "," "," "," ","7894   ","20250228","1","0014","0","2000","0621228","11000100","01","1","               ","       ","11","MA276700-20630M","23703A020P               ","     10","0070247","20250228","232312",""
"1938","48","08"," "," "," "," ","7894   ","20250228","1","0015","0","3000","0621228","11000100","01","1","               ","       ","UR","MA276700-20630M","23703A020P               ","0000010","    165","20250228","232313",""
"1939","48","08"," "," "," "," ","7894   ","20250228","1","0016","0","2000","0621228","11000100","01","1","               ","       ","11","MA276700-20630M","23703A020P               ","     10","0090025","20250228","232315",""
